track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
22Nd3GuO7sHopPjdKccRcq,An Art Gallery Could Never Be As Unique As You,31fsDbpNPKe346urriO4ma,mrld,0FRaoawfqep3bJcCqcQZpD,158677,2019-12-11,77,0.48,0.299,7,-12.077,1,0.0525,0.838,0.0,0.133,0.196,121.75,158677,37i9dQZF1DZ06evO1KbXMc,This Is mrld
4z7xboLD3PqY9dOUscS2ly,Ikaw Pa Rin,31fsDbpNPKe346urriO4ma,mrld,6yoXzcdZwga0Gqmmqkvz1k,191009,2022-09-02,73,0.412,0.374,4,-11.538,1,0.0307,0.692,7.38e-06,0.168,0.306,108.926,191009,37i9dQZF1DZ06evO1KbXMc,This Is mrld
4IeuTj1pEHuL9vJSiEqEfR,Ligaya,31fsDbpNPKe346urriO4ma,mrld,0ccUyUkrIynFO5USku5IHH,248800,2021-10-06,72,0.458,0.533,0,-5.249,1,0.0381,0.447,0.0,0.114,0.343,149.832,248800,37i9dQZF1DZ06evO1KbXMc,This Is mrld
3Ues7YM3y8JYnTeu2OYFVH,Just Because,31fsDbpNPKe346urriO4ma,mrld,4KE1Eeu0tO0f2czX9pfaRc,193246,2023-02-10,62,0.557,0.406,2,-9.614,1,0.0463,0.708,1.57e-05,0.152,0.346,77.035,193247,37i9dQZF1DZ06evO1KbXMc,This Is mrld
11s7b3qNczlmVO0LT3PPte,Maligayang Pagkunwari,31fsDbpNPKe346urriO4ma,mrld,0NqV5yJbP7ngiQPY91J9dj,274500,2022-04-01,58,0.548,0.425,9,-8.448,1,0.0323,0.531,0.0,0.0831,0.331,119.862,274500,37i9dQZF1DZ06evO1KbXMc,This Is mrld
3vuMrOt51GvnIuI61HwSvw,The Fate Of The One Not Chosen,31fsDbpNPKe346urriO4ma,mrld,1JGW6r7XiIfGurgJQxNNUo,215675,2023-04-28,56,0.523,0.508,10,-7.828,1,0.0255,0.168,0.0,0.0956,0.244,73.969,215676,37i9dQZF1DZ06evO1KbXMc,This Is mrld
4Ji644TkVvAvuUbNYkmuMv,If,31fsDbpNPKe346urriO4ma,mrld,6venqEQk0VxnehajThSHrI,178481,2023-03-24,51,0.291,0.298,2,-10.985,1,0.0292,0.861,0.0,0.0857,0.16,144.95,178481,37i9dQZF1DZ06evO1KbXMc,This Is mrld
7JHsx9J7zW5jOeen4OufUT,What Are We,31fsDbpNPKe346urriO4ma,mrld,1C19zBgMZssqTdeYZY2zS3,320915,2020-05-22,54,0.551,0.173,5,-18.25,1,0.0328,0.706,0.0015,0.112,0.408,169.89,320916,37i9dQZF1DZ06evO1KbXMc,This Is mrld
65n1p4UW6Jj9XBTsPSc5yy,"your eyes, they lie - Acoustic Version",31fsDbpNPKe346urriO4ma,mrld,27zAXpYbaC8BfVO9iPAfs3,220408,2019-08-30,47,0.476,0.297,6,-9.245,1,0.0353,0.791,9.17e-06,0.076,0.2,146.508,220408,37i9dQZF1DZ06evO1KbXMc,This Is mrld
547BhENIP2p1J3NIeVcmBB,My Summer's Cold Without You,31fsDbpNPKe346urriO4ma,mrld,1QSZELHI9JqswlLJNktIbA,175351,2020-04-14,45,0.607,0.608,6,-7.182,1,0.041,0.65,0.0,0.0902,0.649,92.068,175351,37i9dQZF1DZ06evO1KbXMc,This Is mrld
7IQYaSeIeIWNGEHxsHVIo4,Hinto Galaw,31fsDbpNPKe346urriO4ma,mrld,7mKXre6Jvnguvmqwna2tLd,174117,2020-08-13,36,0.708,0.738,10,-10.222,0,0.0436,0.499,0.0522,0.084,0.865,102.011,174118,37i9dQZF1DZ06evO1KbXMc,This Is mrld
6c2bv4TTnhahIvhfM9R8IB,Kapit Bitiw,5Y9vqgAJpBqmweLDRWg7oe,junjidreu,6ce3GGKzWZ3R07cnRPHDSU,274164,2020-10-27,34,0.682,0.385,6,-11.579,0,0.0669,0.778,1.45e-05,0.168,0.614,134.959,274165,37i9dQZF1DZ06evO1KbXMc,This Is mrld
